edfa_key,device_name,logical_name,pn,time_start,time_end,actual_gain_mean,actual_gain_min,actual_gain_max,actual_gain_std,actual_gain_tilt_mean,actual_gain_tilt_min,actual_gain_tilt_max,actual_gain_tilt_std,attenuation_mean,attenuation_min,attenuation_max,attenuation_std,inputTPM_avg_mean,inputTPM_avg_min,inputTPM_avg_max,inputTPM_avg_std,inputTPM_max_mean,inputTPM_max_min,inputTPM_max_max,inputTPM_max_std,inputTPM_min_mean,inputTPM_min_min,inputTPM_min_max,inputTPM_min_std,outputTPM_avg_mean,outputTPM_avg_min,outputTPM_avg_max,outputTPM_avg_std,outputTPM_max_mean,outputTPM_max_min,outputTPM_max_max,outputTPM_max_std,outputTPM_min_mean,outputTPM_min_min,outputTPM_min_max,outputTPM_min_std,gain_tilt_abs_max,gain_tilt_status,attenuation_status,edfa_status,gain_tilt_risk_score,attenuation_risk_score,edfa_risk_score,recommended_check
41|/TO_EAST_LA|EDFA3,41,/TO_EAST_LA,EDFA3,2000-01-08 13:00:00,2000-01-15 07:00:00,22.0,22.0,22.0,0.0,-1.0,-1.0,-1.0,0.0,4.787791411042945,4.77,4.87,0.03836189821185127,-3.9030674846625764,-4.0,-3.9,0.01729665950563223,-3.900613496932515,-4.0,-3.9,0.00783260449987958,-4.052760736196319,-4.1,-4.0,0.05007757369430907,16.4,16.4,16.4,0.0,16.5,16.5,16.5,0.0,16.4,16.4,16.4,0.0,1.0,Normal,Normal,Normal,40.77669902912621,86.40776699029125,86.41,EDFA telemetry is within the normal dataset distribution.
42|/TO_WEST_LA|EDFA3,42,/TO_WEST_LA,EDFA3,2000-01-08 13:00:00,2000-01-15 07:00:00,21.990184049079755,21.9,22.0,0.029844709038250625,-1.2,-1.2,-1.2,0.0,4.65,4.65,4.65,0.0,-4.7,-4.7,-4.7,0.0,-4.694478527607362,-4.7,-4.6,0.022910275182323664,-5.031288343558282,-5.1,-5.0,0.04650961986333375,15.843558282208589,15.8,15.9,0.04973610584064116,16.19325153374233,16.1,16.2,0.02516325548583577,15.802453987730063,15.8,15.9,0.015519482958004784,1.2,Normal,Normal,Normal,56.79611650485437,85.43689320388349,85.44,EDFA telemetry is within the normal dataset distribution.
26|/TO_EAST_LA|EDFA3,26,/TO_EAST_LA,EDFA3,2000-01-08 13:00:00,2000-01-15 07:00:00,21.979754601226993,21.9,22.0,0.04030670869390318,-1.2,-1.2,-1.2,0.0,4.52,4.52,4.52,0.0,-3.4012269938650306,-3.5,-3.4,0.011042734393377291,-3.391411042944785,-3.4,-3.3,0.028106440117276376,-3.593865030674847,-3.7,-3.5,0.026511706088467493,17.175460122699388,17.1,17.2,0.043164949972837006,17.354601226993864,17.3,17.4,0.0499412667234402,17.15276073619632,17.1,17.2,0.050077573694306855,1.2,Normal,Normal,Normal,56.79611650485437,84.46601941747572,84.47,EDFA telemetry is within the normal dataset distribution.
45|/TO_EAST_LA|EDFA3,45,/TO_EAST_LA,EDFA3,2000-01-08 13:00:00,2000-01-15 07:00:00,21.996319018404908,21.9,22.0,0.018887485412393424,-1.0,-1.0,-1.0,0.0,4.494049079754601,4.41,4.51,0.03672786201119449,-4.7392638036809815,-4.9,-4.7,0.069775285537663,-4.732515337423313,-4.9,-4.7,0.061747630116788264,-4.859509202453988,-5.0,-4.8,0.07588005220213989,15.785276073619633,15.7,15.9,0.04041929748498631,15.914723926380368,15.8,16.0,0.0677988390176594,15.785276073619633,15.7,15.9,0.04041929748498631,1.0,Normal,Normal,Normal,40.77669902912621,83.49514563106796,83.5,EDFA telemetry is within the normal dataset distribution.
23|/TO_WEST_LA|EDFA3,23,/TO_WEST_LA,EDFA3,2000-01-08 13:00:00,2000-01-15 07:00:00,21.926380368098158,21.9,22.0,0.044205218477057995,-1.4,-1.4,-1.4,0.0,4.48,4.48,4.48,0.0,-3.4368098159509204,-3.6,-3.2,0.11544709397811038,-3.4214723926380373,-3.6,-3.2,0.1104101954991741,-3.7116564417177913,-3.9,-3.4,0.11298018947771761,17.045398773006134,16.9,17.3,0.11557823174285936,17.317791411042947,17.2,17.6,0.10938675603065072,17.016564417177914,16.8,17.3,0.1101423342215683,1.4,Normal,Normal,Normal,76.69902912621359,82.52427184466019,82.52,EDFA telemetry is within the normal dataset distribution.
17|/TO_WEST_LA|EDFA3,17,/TO_WEST_LA,EDFA3,2000-01-01 00:00:00,2000-01-15 07:00:00,21.95449275362319,21.9,22.0,0.049870070482159475,0.0,0.0,0.0,0.0,4.402608695652174,3.72,5.02,0.6450068779467277,-8.389244186046511,-8.6,-8.2,0.148953624265552,-8.380232558139536,-8.6,-8.2,0.15066017401120485,-8.56046511627907,-8.8,-8.4,0.15836560996018542,12.194767441860465,11.9,12.3,0.1171899033868858,12.39796511627907,12.2,12.6,0.1927896751329938,12.18953488372093,11.9,12.3,0.1205227387591417,0.0,Normal,Normal,Normal,16.50485436893204,81.55339805825243,81.55,EDFA telemetry is within the normal dataset distribution.
50|/TO_WEST_LA|EDFA3,50,/TO_WEST_LA,EDFA3,2000-01-08 13:00:00,2000-01-15 07:00:00,26.684662576687117,26.6,26.7,0.03614583302638824,-1.2,-1.2,-1.2,0.0,4.356625766871166,4.21,4.51,0.0650566786020887,-9.36319018404908,-9.4,-9.3,0.04837744502351292,-9.35153374233129,-9.4,-9.3,0.05013048186933359,-9.477914110429449,-9.5,-9.4,0.041610391445044886,15.900613496932516,15.9,16.0,0.007832604499879584,16.10122699386503,16.1,16.2,0.011042734393377194,15.89877300613497,15.8,15.9,0.011042734393377347,1.2,Normal,Normal,Normal,56.79611650485437,80.58252427184466,80.58,EDFA telemetry is within the normal dataset distribution.
30|/TO_WEST_LA|EDFA2,30,/TO_WEST_LA,EDFA2,2000-01-08 13:00:00,2000-01-15 07:00:00,14.995092024539876,14.9,15.0,0.021670031025389894,-1.4,-1.4,-1.4,0.0,4.049325153374233,3.98,4.08,0.04625651551511177,1.6846625766871166,1.6,1.9,0.11578120174393741,1.9030674846625766,1.8,2.1,0.06887393465236484,1.670552147239264,1.6,1.9,0.11911842604892517,15.465644171779141,15.3,15.7,0.11673562411725322,15.641104294478527,15.5,15.9,0.11425013782831858,15.462576687116565,15.3,15.7,0.11815761056587078,1.4,Normal,Normal,Normal,76.69902912621359,79.6116504854369,79.61,EDFA telemetry is within the normal dataset distribution.
49|/TO_EAST_LA|EDFA3,49,/TO_EAST_LA,EDFA3,2000-01-08 13:00:00,2000-01-15 07:00:00,21.938036809815948,21.9,22.0,0.04869733807343945,-1.4,-1.4,-1.4,0.0,4.012883435582822,4.0,4.1,0.033604892471193054,-5.630674846625767,-5.8,-5.5,0.11617955895491083,-5.62760736196319,-5.8,-5.5,0.11562409482236573,-5.817791411042945,-6.0,-5.6,0.11435284651472875,15.155828220858897,14.9,15.3,0.12526424391503765,15.344171779141103,15.1,15.5,0.12074775232895307,15.155828220858897,14.9,15.3,0.12526424391503765,1.4,Normal,Normal,Normal,76.69902912621359,78.64077669902912,78.64,EDFA telemetry is within the normal dataset distribution.
5|/TO_WEST_LA|EDFA2,5,/TO_WEST_LA,EDFA2,2000-01-01 00:00:00,2000-01-15 07:00:00,23.45406976744186,23.4,23.5,0.049906686266037094,0.0,0.0,0.0,0.0,3.806220930232558,3.66,3.86,0.06689897542876048,-10.997093023255815,-11.7,-10.1,0.5731023777169053,-10.898837209302325,-11.6,-10.0,0.5788788170180239,-11.866279069767442,-12.6,-11.0,0.5560922517415127,10.35232558139535,9.7,11.2,0.5353349392541569,11.279360465116278,10.6,12.1,0.5754031652942843,10.262500000000001,9.6,11.1,0.5308726794150131,0.0,Normal,Normal,Normal,16.50485436893204,77.66990291262135,77.67,EDFA telemetry is within the normal dataset distribution.
