channel_key,device_name,logical_name,pn,side,och,och_group,center_frequency,record_count,time_start,time_end,ber_mean,ber_median,ber_p95,ber_max,ber_min,ber_last,ber_status,ber_risk_score,recommended_check
T14|/1/1/L1|15.0|3.0|192500000.0|Z|ot2,T14,/1/1/L1,ot2,Z,15.0,3.0,192500000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.002183006134969325,0.0022,0.002458,0.00276,0.00175,0.0023,Normal,60.0,No immediate action. Continue monitoring Pre-FEC BER.
T10|/1/3/L1|14.0|3.0|193300000.0|Z|ot2,T10,/1/3/L1,ot2,Z,14.0,3.0,193300000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.0017849693251533742,0.00174,0.0023150000000000002,0.00255,0.00139,0.00196,Normal,58.0,No immediate action. Continue monitoring Pre-FEC BER.
T8|/1/3/L2|17.0|3.0|192000000.0|A|ot2,T8,/1/3/L2,ot2,A,17.0,3.0,192000000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.0018766871165644171,0.00184,0.0022689999999999997,0.00245,0.00154,0.0023,Normal,56.0,No immediate action. Continue monitoring Pre-FEC BER.
T10|/1/2/L1|10.0|3.0|193200000.0|Z|ot2,T10,/1/2/L1,ot2,Z,10.0,3.0,193200000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.0018444171779141106,0.00183,0.002189,0.00232,0.00153,0.00212,Normal,54.0,No immediate action. Continue monitoring Pre-FEC BER.
T3|/1/5/L1|3.0|1.0|191800000.0|Z|ot1,T3,/1/5/L1,ot1,Z,3.0,1.0,191800000.0,688,2000-01-01 00:00:00,2000-01-15 07:00:00,0.0010151484011627907,0.001555,0.00214,0.00303,4.2e-05,4.43e-05,Normal,52.0,No immediate action. Continue monitoring Pre-FEC BER.
T3|/1/3/L1|2.0|1.0|191600000.0|Z|ot1,T3,/1/3/L1,ot1,Z,2.0,1.0,191600000.0,688,2000-01-01 00:00:00,2000-01-15 07:00:00,0.0009585700581395348,0.001475,0.00206,0.00256,5.1e-05,5.46e-05,Normal,50.0,No immediate action. Continue monitoring Pre-FEC BER.
T14|/1/1/L2|24.0|4.0|192500000.0|A|ot2,T14,/1/1/L2,ot2,A,24.0,4.0,192500000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.0016578527607361965,0.00163,0.0020250000000000003,0.00252,0.00133,0.00158,Normal,48.0,No immediate action. Continue monitoring Pre-FEC BER.
T13|/1/2/L1|18.0|3.0|193800000.0|Z|ot2,T13,/1/2/L1,ot2,Z,18.0,3.0,193800000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.0016311042944785275,0.00159,0.001979,0.00207,0.00128,0.00204,Normal,45.0,No immediate action. Continue monitoring Pre-FEC BER.
T9|/1/1/L1|15.0|3.0|192500000.0|A|ot2,T9,/1/1/L1,ot2,A,15.0,3.0,192500000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.0016965644171779142,0.00164,0.001979,0.00212,0.00152,0.00159,Normal,45.0,No immediate action. Continue monitoring Pre-FEC BER.
T8|/1/2/L2|18.0|3.0|193800000.0|A|ot2,T8,/1/2/L2,ot2,A,18.0,3.0,193800000.0,163,2000-01-08 13:00:00,2000-01-15 07:00:00,0.0014009815950920246,0.00138,0.00191,0.00204,0.00105,0.00112,Normal,42.0,No immediate action. Continue monitoring Pre-FEC BER.
