priority,overall_status,overall_risk_score,issue_category_final,recommended_check,time_start,time_end,device_name,logical_name,pn,side,och,och_group,center_frequency,ber_status,ber_risk_score,ber_mean,ber_p95,ber_max,ber_last,frequency_status,frequency_risk_score,issue_category,device_status,device_risk_score,power_device_status,edfa_device_status,channel_key,record_count,ber_median,ber_min,ber_critical_count,ber_warning_count,power_critical_count,power_warning_count
P3,Normal,76.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-08 13:00:00,2000-01-15 07:00:00,T10,/1/2/L1,ot2,Z,10.0,3.0,193200000.0,Normal,54.0,0.0018444171779141,0.002189,0.00232,0.00212,Normal,76.0,No abnormal behavior detected,Unknown,0.0,,,T10|/1/2/L1|10.0|3.0|193200000.0|Z|ot2,163,0.00183,0.00153,0,0,0,0
P3,Normal,76.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-08 13:00:00,2000-01-15 07:00:00,T16,/1/1/L2,ot2,Z,22.0,4.0,193200000.0,Normal,32.0,0.0013019018404907,0.001649,0.0022,0.00149,Normal,76.0,No abnormal behavior detected,Unknown,0.0,,,T16|/1/1/L2|22.0|4.0|193200000.0|Z|ot2,163,0.00125,0.00108,0,0,0,0
P3,Normal,76.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-08 13:00:00,2000-01-15 07:00:00,T5,/1/2/L2,ot2,A,10.0,3.0,193200000.0,Normal,20.0,0.0010796319018404,0.00115,0.00122,0.00105,Normal,76.0,No abnormal behavior detected,Unknown,0.0,,,T5|/1/2/L2|10.0|3.0|193200000.0|A|ot2,163,0.00107,0.00102,0,0,0,0
P3,Normal,63.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-08 13:00:00,2000-01-15 07:00:00,T12,/1/1/L1,ot2,Z,11.0,3.0,192300000.0,Normal,63.0,0.0022855828220858,0.00248,0.00261,0.00242,Normal,63.0,No abnormal behavior detected,Unknown,0.0,,,T12|/1/1/L1|11.0|3.0|192300000.0|Z|ot2,163,0.00228,0.00191,0,0,0,0
P3,Normal,63.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-08 13:00:00,2000-01-15 07:00:00,T12,/1/2/L1,ot2,Z,8.0,3.0,192400000.0,Normal,63.0,0.0023036196319018,0.00248,0.00277,0.00237,Normal,63.0,No abnormal behavior detected,Unknown,0.0,,,T12|/1/2/L1|8.0|3.0|192400000.0|Z|ot2,163,0.00231,0.00196,0,0,0,0
P3,Normal,63.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-08 13:00:00,2000-01-15 07:00:00,T7,/1/1/L2,ot2,A,11.0,3.0,192300000.0,Normal,36.0,0.0015889570552147,0.001799,0.00194,0.00158,Normal,63.0,No abnormal behavior detected,Unknown,0.0,,,T7|/1/1/L2|11.0|3.0|192300000.0|A|ot2,163,0.00157,0.00142,0,0,0,0
P3,Normal,63.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-08 13:00:00,2000-01-15 07:00:00,T7,/1/2/L2,ot2,A,8.0,3.0,192400000.0,Normal,27.0,0.0014661963190184,0.00157,0.00165,0.00148,Normal,63.0,No abnormal behavior detected,Unknown,0.0,,,T7|/1/2/L2|8.0|3.0|192400000.0|A|ot2,163,0.00145,0.00138,0,0,0,0
P3,Normal,58.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-08 13:00:00,2000-01-15 07:00:00,T10,/1/3/L1,ot2,Z,14.0,3.0,193300000.0,Normal,58.0,0.0017849693251533,0.002315,0.00255,0.00196,Normal,58.0,No abnormal behavior detected,Unknown,0.0,,,T10|/1/3/L1|14.0|3.0|193300000.0|Z|ot2,163,0.00174,0.00139,0,0,0,0
P3,Normal,58.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-08 13:00:00,2000-01-15 07:00:00,T5,/1/3/L2,ot2,A,14.0,3.0,193300000.0,Normal,30.0,0.0013814110429447,0.00159,0.00168,0.00129,Normal,58.0,No abnormal behavior detected,Unknown,0.0,,,T5|/1/3/L2|14.0|3.0|193300000.0|A|ot2,163,0.00136,0.00121,0,0,0,0
P3,Normal,52.0,Normal channel with side-specific monitoring available,No immediate action. Continue monitoring.,2000-01-01 00:00:00,2000-01-15 07:00:00,T3,/1/5/L1,ot1,Z,3.0,1.0,191800000.0,Normal,52.0,0.0010151484011627,0.00214,0.00303,4.43e-05,Normal,52.0,No abnormal behavior detected,Unknown,0.0,,,T3|/1/5/L1|3.0|1.0|191800000.0|Z|ot1,688,0.001555,4.2e-05,0,0,0,0
